0.002	2	2725	CSS2725FT2L00	Surface_mount	0.063	4
0.3	8	0805	RL1220S-R30-F	Surface_mount	0.32	1/3
1	0	0603	MCR03EZPFX1001	Surface_mount	50	1/3
1	20	0402	ERJ-2RKF9760X	Surface_mount	50	1/7
1	20	1206	RC1206JR-071KL	Surface_mount	200	1/4
1	19	0402	RC0402FR-071KL	Surface_mount	50	1/5
2.4	8	0805	RL1220S-2R4-F	Surface_mount	0.894	1/3
3.9	8	2010	ERJ-12ZYJ395U	Surface_mount	200	3/4
3.9	2	0805	ERJ-6GEYJ3R9V	Surface_mount	150	1/8
10	29	0603	ERJ-3GEYJ100V	Surface_mount	75	1/3
10	51	Axial	RNF14FTD10R0	Surface_mount	250	1/4
15	38	n/a	PWR4522AS15R0	Surface_mount	6.71	3
21	7	0402	CRCW040221RKED	Surface_mount	50	1/2
22	10	0603	ERJ-3GEYJ220V	Surface_mount	75	1/2
22	8	1210	CRCW121020JNEA	Through_hole	200	1/2
22.1	19	0603	RC0603F0722R1L	Surface_mount	75	1/8
36.5	0	0402	CRCW0236R5FKED	Surface_mount	50	1/4
36.5	171	0603	RC03FR-0736R5L	Surface_mount	75	1/4
39	72	0402	ERJ-2RKF39R0X	Surface_mount	50	1/8
41.2	0	0402	ERJ-2RKF41R2X	Surface_mount	50	1/2
41.2	20	0603	ERJ-3EKF41R2V	Surface_mount	75	1/3
47	166	2010	RMCF2010JT47R0	Surface_mount	200	3/4
47	185	Axial	CF12JT47R0	Surface_mount	350	1/2
47	40	2010	CRC01047R0JNEF	Surface_mount	400	3/4
100	80	2010	ERJ-12ZYJ101U	Surface_mount	200	3/4
100	38	0603	MCR03EZPJ101	Surface_mount	50	1/3
100	27	2010	RMCF2010FT100R	Surface_mount	200	3/4
120	19	Axial	CF14JT120R	Surface_mount	350	1/4
180	9	Axial	CFM12JT180R	Surface_mount	350	1/2
182	1	0402	ERJ-2RKF1820X	Surface_mount	50	1/4
470	28	Axial	NFR25H000JR500	Surface_mount	350	1/2
680	176	Axial	CF12JT680R	Surface_mount	350	1/2
909	6	0402	ERJ-2RKF9090X	Through_hole	50	1/5
976	20	0402	ERJ-2RKF9760X	Surface_mount	50	1/7
